scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,current_or_disposed,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,phev,29.0,0.0,1996.0,high,,,,,,,10200.3868687914,current,,,,,,,,,,,,,,,,
default,0,bev,30.0,0.0,1995.0,high,,,,,,,9828.32133107283,current,,,,,,,,,,,,,,,,
default,0,hev,30.0,0.0,1995.0,high,,,,,,,9828.32133107283,current,,,,,,,,,,,,,,,,
default,0,icev,30.0,491737.0472021181,1995.0,high,18.3295914734322,inf,12.8322554455687,0.0,0.0,0.0,9828.32133107283,current,,,,,,,,,,,,,,,,
default,0,phev,30.0,0.0,1995.0,high,,,,,,,9828.32133107283,current,,,,,,,,,,,,,,,,
default,0,bev,31.0,0.0,1994.0,high,,,,,,,9453.99663646892,current,,,,,,,,,,,,,,,,
default,0,hev,31.0,0.0,1994.0,high,,,,,,,9453.99663646892,current,,,,,,,,,,,,,,,,
default,0,icev,31.0,437431.0639911155,1994.0,high,18.5158737897571,inf,12.7031542054536,0.0,0.0,0.0,9453.99663646892,current,,,,,,,,,,,,,,,,
default,0,phev,31.0,0.0,1994.0,high,,,,,,,9453.99663646892,current,,,,,,,,,,,,,,,,
default,0,bev,32.0,0.0,1993.0,high,,,,,,,9077.41278497971,current,,,,,,,,,,,,,,,,
default,0,hev,32.0,0.0,1993.0,high,,,,,,,9077.41278497971,current,,,,,,,,,,,,,,,,
default,0,icev,32.0,395384.884998464,1993.0,high,18.94529114764,inf,12.4152222400288,0.0,0.0,0.0,9077.41278497971,current,,,,,,,,,,,,,,,,
default,0,phev,32.0,0.0,1993.0,high,,,,,,,9077.41278497971,current,,,,,,,,,,,,,,,,
default,0,bev,33.0,0.0,1992.0,high,,,,,,,8698.5697766052,current,,,,,,,,,,,,,,,,
default,0,hev,33.0,0.0,1992.0,high,,,,,,,8698.5697766052,current,,,,,,,,,,,,,,,,
default,0,icev,33.0,362700.5430989345,1992.0,high,18.9731843401433,inf,12.3969701544692,0.0,0.0,0.0,8698.5697766052,current,,,,,,,,,,,,,,,,
default,0,phev,33.0,0.0,1992.0,high,,,,,,,8698.5697766052,current,,,,,,,,,,,,,,,,
default,0,bev,34.0,0.0,1991.0,high,,,,,,,8317.4676113454,current,,,,,,,,,,,,,,,,
default,0,hev,34.0,0.0,1991.0,high,,,,,,,8317.4676113454,current,,,,,,,,,,,,,,,,
default,0,icev,34.0,337172.70588583243,1991.0,high,19.2908459983567,inf,12.1928296986061,0.0,0.0,0.0,8317.4676113454,current,,,,,,,,,,,,,,,,
default,0,phev,34.0,0.0,1991.0,high,,,,,,,8317.4676113454,current,,,,,,,,,,,,,,,,
default,0,bev,35.0,0.0,1990.0,high,,,,,,,7934.1062892003,current,,,,,,,,,,,,,,,,
default,0,hev,35.0,0.0,1990.0,high,,,,,,,7934.1062892003,current,,,,,,,,,,,,,,,,
default,0,icev,35.0,317133.0963101557,1990.0,high,19.0829161448628,inf,12.3256843039327,0.0,0.0,0.0,7934.1062892003,current,,,,,,,,,,,,,,,,
default,0,phev,35.0,0.0,1990.0,high,,,,,,,7934.1062892003,current,,,,,,,,,,,,,,,,
default,0,bev,36.0,0.0,1989.0,high,,,,,,,7548.4858101699,current,,,,,,,,,,,,,,,,
