scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,ghg_cost_x_n,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,bev,41.0,0.0,1984.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,41.0,0.0,1984.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,41.0,5184.967927896328,1984.0,high,,,,,,,,,,,,,,14517910.198109718,,,,,,,,,,
default,0,phev,41.0,0.0,1984.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,42.0,0.0,1983.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,42.0,0.0,1983.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,42.0,4198.414855971813,1983.0,high,,,,,,,,,,,,,,11755561.596721077,,,,,,,,,,
default,0,phev,42.0,0.0,1983.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,43.0,0.0,1982.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,43.0,0.0,1982.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,43.0,3410.777675090849,1982.0,high,,,,,,,,,,,,,,9550177.490254376,,,,,,,,,,
default,0,phev,43.0,0.0,1982.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,44.0,0.0,1981.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,44.0,0.0,1981.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,44.0,2779.2795967474985,1981.0,high,,,,,,,,,,,,,,7781982.870892996,,,,,,,,,,
default,0,phev,44.0,0.0,1981.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,45.0,0.0,1980.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,45.0,0.0,1980.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,45.0,2270.973403042635,1980.0,high,,,,,,,,,,,,,,6358725.528519377,,,,,,,,,,
default,0,phev,45.0,0.0,1980.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
